RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
25283,5003,Jackson,City,AL,AL,,Clarke County,110525,111747,113060,115576,117987,119903,120345,120639,120841,121151,123393,125481,128221
35579,5011,Fairfield,City,AL,AL,Birmingham-Hoover,Jefferson County,73435,75169,76035,76458,77807,80082,82368,84641,85821,86661,87669,89132,91480
13286,5023,Pike Road,City,AL,AL,Montgomery,Montgomery County,308360,310311,312694,315098,318533,322324,327587,332119,337412,342282,346997,351869,357252
11414,5201,Fayette,City,AL,AL,,Fayette County,83583,84821,85908,86727,87451,88130,88848,89409,90068,90448,92367,93972,96327
44533,5210,Centre,City,AL,AL,,Cherokee County,136613,139122,140431,141539,142450,144179,146174,147960,148804,149096,151160,152286,154573
42304,5225,Leeds,City,AL,AL,Birmingham-Hoover,Jefferson County,181823,183700,185214,187191,189910,194063,197804,201245,204128,207780,210681,212814,215191
45129,5233,Elkmont,City,AL,AL,Huntsville,Limestone County,170569,173821,175742,177966,180596,183809,186838,188971,190391,191428,194936,199228,205116
6167,5243,New Market,City,AL,AL,Huntsville,Madison County,211104,214626,217836,223043,228618,234368,238920,244222,250767,256759,262434,267925,273795
11785,5264,Hamilton,City,AL,AL,,Marion County,101863,103527,104197,104942,105548,106412,107620,108794,109835,110368,112599,114789,117634
3732,5315,Boaz,City,AL,AL,Albertville,Marshall County,130608,133567,135308,136973,137534,139790,141935,144916,144538,144505,144482,147006,149943
39533,5366,Loxley,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,200554,202265,204993,207668,213088,217869,222781,227211,231568,236568,240823,246003,250488
18509,5477,Hayden,City,AL,AL,Birmingham-Hoover,Blount County,213796,215749,217284,218524,221628,224583,223963,228514,231982,239229,237629,235235,229704
48822,5499,Citronelle,City,AL,AL,Mobile,Mobile County,128316,128874,129704,132010,134983,137904,139648,140379,141968,143627,146059,147770,149844
36927,5515,Pleasant Grove,City,AL,AL,Birmingham-Hoover,Jefferson County,179199,181775,183920,186388,189016,192983,197123,200980,203828,206694,210735,214499,219037
37845,5523,Chelsea,City,AL,AL,Birmingham-Hoover,Shelby County,286257,290360,295473,299471,303001,307541,312939,317765,322172,326434,332035,336493,339910
