Region,RegionName,StateName,ForecastedDate,ForecastYoYPctChange
Zip,36604,AL,28/02/2023,16.9
Zip,36605,AL,28/02/2023,16.3
Zip,36606,AL,28/02/2023,17
Zip,36607,AL,28/02/2023,19.1
Zip,36608,AL,28/02/2023,16.3
Zip,36609,AL,28/02/2023,16.8
Zip,36610,AL,28/02/2023,23.6
Zip,36611,AL,28/02/2023,17.9
Zip,36612,AL,28/02/2023,19.3
Zip,36613,AL,28/02/2023,16.8
Zip,36617,AL,28/02/2023,19
Zip,36618,AL,28/02/2023,17.6
Zip,36619,AL,28/02/2023,16
Zip,36693,AL,28/02/2023,16.6
Zip,36695,AL,28/02/2023,16.3
Zip,36701,AL,28/02/2023,10.8
Zip,36703,AL,28/02/2023,14.5
Zip,36744,AL,28/02/2023,16.8
Zip,36749,AL,28/02/2023,10.2
Zip,36750,AL,28/02/2023,13.2
Zip,36752,AL,28/02/2023,10.8
Zip,36758,AL,28/02/2023,8.1
Zip,36759,AL,28/02/2023,10.2
Zip,36761,AL,28/02/2023,8.8
Zip,36765,AL,28/02/2023,12.1
Zip,36767,AL,28/02/2023,9.1
Zip,36773,AL,28/02/2023,10.6
Zip,36775,AL,28/02/2023,7.9
Zip,36776,AL,28/02/2023,22
Zip,36785,AL,28/02/2023,10.5
Zip,36790,AL,28/02/2023,13.4
Zip,36792,AL,28/02/2023,13.9
Zip,36801,AL,28/02/2023,15.2
Zip,36804,AL,28/02/2023,15.8
Zip,36830,AL,28/02/2023,15.2
Zip,36832,AL,28/02/2023,18.3
Zip,36852,AL,28/02/2023,11.6
Zip,36854,AL,28/02/2023,12.1
Zip,36855,AL,28/02/2023,10.9
Zip,36856,AL,28/02/2023,10.3
Zip,36858,AL,28/02/2023,13.4
Zip,36860,AL,28/02/2023,16.9
Zip,36862,AL,28/02/2023,13.1
Zip,36863,AL,28/02/2023,13.7
Zip,36867,AL,28/02/2023,15.7
Zip,36869,AL,28/02/2023,15.5
Zip,36870,AL,28/02/2023,6.4
Zip,36871,AL,28/02/2023,13.3
Zip,36874,AL,28/02/2023,10.1
Zip,36875,AL,28/02/2023,15.6
Zip,36877,AL,28/02/2023,6.8
Zip,36879,AL,28/02/2023,9.9
Msa,"Arkadelphia, AR",AR,28/02/2023,14.3
Msa,"Batesville, AR",AR,28/02/2023,17.8
Msa,"Blytheville, AR",AR,28/02/2023,14
Msa,"Camden, AR",AR,28/02/2023,13.6
Msa,"El Dorado, AR",AR,28/02/2023,17.7
Msa,"Fayetteville, AR",AR,28/02/2023,22.6
Msa,"Forrest City, AR",AR,28/02/2023,15.6
Msa,"Fort Smith, AR",AR,28/02/2023,15
Msa,"Harrison, AR",AR,28/02/2023,17.5
Msa,"Helena, AR",AR,28/02/2023,12.7
Msa,"Hot Springs, AR",AR,28/02/2023,21
Msa,"Jonesboro, AR",AR,28/02/2023,16.5
Msa,"Little Rock, AR",AR,28/02/2023,13.7
Msa,"Magnolia, AR",AR,28/02/2023,16.5
Msa,"Malvern, AR",AR,28/02/2023,17.3
Msa,"Mountain Home, AR",AR,28/02/2023,18.1
Msa,"Paragould, AR",AR,28/02/2023,19.1
Msa,"Pine Bluff, AR",AR,28/02/2023,15.5
Msa,"Russellville, AR",AR,28/02/2023,13.3
Msa,"Searcy, AR",AR,28/02/2023,16.1
Zip,71601,AR,28/02/2023,13.8
Zip,71602,AR,28/02/2023,15.1
Zip,71603,AR,28/02/2023,15.1
Zip,71643,AR,28/02/2023,17.3
Zip,71644,AR,28/02/2023,17.8
Zip,71652,AR,28/02/2023,12.9
Zip,71660,AR,28/02/2023,14
Zip,71665,AR,28/02/2023,13.9
Zip,71667,AR,28/02/2023,15.8
Zip,71701,AR,28/02/2023,10.9
Zip,71720,AR,28/02/2023,10.8
Zip,71724,AR,28/02/2023,15.8
Zip,71726,AR,28/02/2023,9.3
Zip,71730,AR,28/02/2023,15.7
Zip,71740,AR,28/02/2023,19
Zip,71743,AR,28/02/2023,12.5
Zip,71744,AR,28/02/2023,13
Zip,71745,AR,28/02/2023,12.2
Zip,71747,AR,28/02/2023,14.5
Zip,71749,AR,28/02/2023,16.8
Zip,71751,AR,28/02/2023,11.4
Zip,71752,AR,28/02/2023,21.7
Zip,71753,AR,28/02/2023,16.4
Zip,71758,AR,28/02/2023,16
Zip,71759,AR,28/02/2023,14
Zip,71762,AR,28/02/2023,15.9
Zip,71764,AR,28/02/2023,8.4
Zip,71765,AR,28/02/2023,17.5
Zip,71766,AR,28/02/2023,10.4
Zip,71820,AR,28/02/2023,6.1
Zip,71822,AR,28/02/2023,12.9
Zip,71834,AR,28/02/2023,10.5
Zip,71836,AR,28/02/2023,11.7
Zip,71837,AR,28/02/2023,11.1
Zip,71839,AR,28/02/2023,10.1
Zip,71853,AR,28/02/2023,12.2
Zip,71854,AR,28/02/2023,10.8
Zip,71865,AR,28/02/2023,-2.6
Zip,71866,AR,28/02/2023,9.6
Zip,71901,AR,28/02/2023,19.8
Zip,71909,AR,28/02/2023,14.8
Zip,71913,AR,28/02/2023,19.6
Zip,71921,AR,28/02/2023,13
Zip,71923,AR,28/02/2023,11
Zip,71929,AR,28/02/2023,16.6
Zip,71933,AR,28/02/2023,17
Zip,71941,AR,28/02/2023,19.1
Zip,71949,AR,28/02/2023,19.4
Zip,71956,AR,28/02/2023,18.6
Zip,71962,AR,28/02/2023,12.1
Zip,71964,AR,28/02/2023,18.8
Zip,71968,AR,28/02/2023,20.4
Zip,72001,AR,28/02/2023,13.4
Zip,72002,AR,28/02/2023,11.3
Zip,72004,AR,28/02/2023,16.3
Zip,72007,AR,28/02/2023,10.4
Zip,72010,AR,28/02/2023,16
Zip,72011,AR,28/02/2023,8.1
Zip,72012,AR,28/02/2023,15.8
Zip,72015,AR,28/02/2023,13.6
Zip,72016,AR,28/02/2023,12.1
Zip,72019,AR,28/02/2023,11.4
Zip,72022,AR,28/02/2023,12.8
Zip,72023,AR,28/02/2023,10
Zip,72024,AR,28/02/2023,11
Zip,72025,AR,28/02/2023,13
Zip,72032,AR,28/02/2023,9.3
Zip,72034,AR,28/02/2023,9.8
Zip,72037,AR,28/02/2023,5
Zip,72039,AR,28/02/2023,10.9
Zip,72045,AR,28/02/2023,16.7
Zip,72046,AR,28/02/2023,11.9
Zip,72047,AR,28/02/2023,12
Zip,72058,AR,28/02/2023,9.3
Zip,72060,AR,28/02/2023,14.3
Zip,72061,AR,28/02/2023,10.6
Zip,72065,AR,28/02/2023,8.4
Zip,72068,AR,28/02/2023,15.6
Zip,72070,AR,28/02/2023,13.2
Zip,72072,AR,28/02/2023,6.1
Zip,72076,AR,28/02/2023,15.5
Zip,72079,AR,28/02/2023,13.2
Zip,72081,AR,28/02/2023,15.7
Zip,72082,AR,28/02/2023,15.7
Zip,72083,AR,28/02/2023,4.1
Zip,72085,AR,28/02/2023,16.9
Zip,72086,AR,28/02/2023,8
Zip,72087,AR,28/02/2023,11.7
Zip,72102,AR,28/02/2023,16.4
Zip,72103,AR,28/02/2023,7.9
Zip,72104,AR,28/02/2023,15.6
Zip,72106,AR,28/02/2023,9.1
Zip,72111,AR,28/02/2023,13.9
Zip,72113,AR,28/02/2023,14
Zip,72114,AR,28/02/2023,16.8
Zip,72116,AR,28/02/2023,13.8
Zip,72117,AR,28/02/2023,15
Zip,72118,AR,28/02/2023,13.8
Zip,72120,AR,28/02/2023,13.5
Zip,72121,AR,28/02/2023,15.6
Zip,72122,AR,28/02/2023,9.4
Zip,72125,AR,28/02/2023,13.5
Zip,72126,AR,28/02/2023,13.1
Zip,72128,AR,28/02/2023,14.3
Zip,72132,AR,28/02/2023,14.8
Zip,72135,AR,28/02/2023,11.7
